"","Feature","Coeff","abs_Coeff","scaled","abs_scaled"
"29","CPNE4",0.258407736989518,0.258407736989518,0.38187751238356,0.38187751238356
"30","GPAA1",-0.244238375195695,0.244238375195695,-0.360937889224725,0.360937889224725
"31","`RP11-367G6.3`",-0.230525559153279,0.230525559153279,-0.340672953897871,0.340672953897871
"32","DENND6B",-0.213723568493759,0.213723568493759,-0.315842805733966,0.315842805733966
"33","ACTR3B",0.208763695816179,0.208763695816179,0.308513056780163,0.308513056780163
"34","ETS2",-0.204693344116163,0.204693344116163,-0.302497850734721,0.302497850734721
"35","ZNF542",0.198245707662769,0.198245707662769,0.292969469741719,0.292969469741719
"36","VPS35",0.190843613885817,0.190843613885817,0.28203058226527,0.28203058226527
"37","HBB",-0.188667709529555,0.188667709529555,-0.278815009262563,0.278815009262563
"38","JAK3",-0.186185507768628,0.186185507768628,-0.275146786922397,0.275146786922397
"39","MAPRE1",-0.185581685909157,0.185581685909157,-0.274254452999644,0.274254452999644
"40","CTSB",-0.184007900858707,0.184007900858707,-0.271928697869035,0.271928697869035
"41","CST3",-0.180164366946222,0.180164366946222,-0.266248685395875,0.266248685395875
"42","SEC31A",0.17667018627102,0.17667018627102,0.261084950595941,0.261084950595941
"43","LTB",0.170994197986852,0.170994197986852,0.252696918908004,0.252696918908004
"44","TPCN1",-0.1674751678901,0.1674751678901,-0.247496461386854,0.247496461386854
"45","P2RY12",0.140920237161789,0.140920237161789,0.208253321819185,0.208253321819185
"46","S100A12",-0.140730165862278,0.140730165862278,-0.20797243257075,0.20797243257075
"47","LYPLAL1",0.139383357847255,0.139383357847255,0.20598210635054,0.20598210635054
"48","CHRNA2",-0.131991925859471,0.131991925859471,-0.195058974971692,0.195058974971692
"49","HDLBP",-0.126353799878601,0.126353799878601,-0.186726896570468,0.186726896570468
"50","IMPA2",-0.119518311478653,0.119518311478653,-0.176625344130477,0.176625344130477
"51","C1orf21",0.119172194715136,0.119172194715136,0.176113849350228,0.176113849350228
"52","HSPA8",0.116396036094859,0.116396036094859,0.172011214652659,0.172011214652659
